PSP_CODE,CF,BIC,ABI
CCRTIT2TRMB,04302260403,CCRTIT2TRMB,TBD
CCRTIT2TNIS,01438930859,CCRTIT2TNIS,TBD
CCRTIT2TIBL,01617330855,CCRTIT2TIBL,TBD
ICRAITRRUS0,02428850842,ICRAITRRUS0,TBD
ICRAITRRNG0,00256750720,ICRAITRRNG0,TBD
ABI08020,00143210219,TBD,08020
AZZBITT1XXX,00166050047,AZZBITT1XXX,TBD
ICRAITRRTM0,03685090650,ICRAITRRTM0,TBD
ICRAITRRBK0,00319990230,ICRAITRRBK0,TBD
CCRTIT2TSGR,00149260713,CCRTIT2TSGR,TBD
CCRTIT2TVIT,00057680563,CCRTIT2TVIT,TBD
CCRTIT2T01A,00148270226,CCRTIT2T01A,TBD
CCRTIT2TLAU,09900240152,CCRTIT2TLAU,TBD
ABI07116,90016030679,TBD,07116
CCRTIT2TGSI,90016030679,CCRTIT2TGSI,TBD
ICRAITRRCD0,00198480758,ICRAITRRCD0,TBD
ABI07096,02742900927,TBD,07096
ICRAITRRUG0,02742900927,ICRAITRRUG0,TBD
SARDIT31,01564560900,SARDIT31,01015
BDBDIT22,01181770155,BDBDIT22XXX,03440
CCRTIT2TALB,00380000729,CCRTIT2TALB,TBD
CCRTIT2TCAS,00149160491,CCRTIT2TCAS,TBD
RZSBIT21019,00179580212,RZSBIT21019,TBD
POPRIT3R,00026870881,POPRIT3R,TBD
CCRTIT2TTER,00251640306,CCRTIT2TTER,TBD
NIPSITR1,04335420404,NIPSITR1,TBD
BAPPIT21,09722490969,BAPPIT21,TBD
ABI06175,03285880104,TBD,06175
SARCIT2S,00204500045,SARCIT2S,TBD
CCRTIT2TBAR,01434500151,CCRTIT2TBAR,TBD
CCRTIT2TPAD,01741030983,CCRTIT2TPAD,08340
BPMOIT22,01153230360,BPMOIT22XXX,05387
CASRIT22,00060550050,CASRIT22XXX,06085
BPBAITR1,00063960553,BPBAITR1,06220
CCRTIT2TFLU,00686880642,CCRTIT2TFLU,08553
CCRTIT2T95A,00078700259,CCRTIT2T95A,08511
CCRTIT2T96A,00074360314,CCRTIT2T96A,08622
CRACIT33,02599341209,CRACIT33XXX,08425
BCPTITNN,00423310630,BCPTITNN,05142
CRGEITGG,03285880104,CRGEITGG,06175
BMLUIT3L,01459540462,BMLUIT3L,06915
BCEPITMM,07051880966,BCEPITMM,03084
ABI07074,00091700930,TBD,07074
ABI07075,03518350545,TBD,07075
ABI07078,01617330855,TBD,07078
CCRTIT2TN00,00088800602,CCRTIT2TN00,TBD
ICRAITRRDJ0,00204710040,ICRAITRRDJ0,TBD
ABI08794,09900240152,TBD,08794
ABI07108,02428850842,TBD,07108
ABI07084,03669140265,TBD,07084
ABI08030,00781330154,TBD,08030
ABI08120,00107860223,TBD,08120
ABI08163,01258070224,TBD,08163
ABI08178,00109850222,TBD,08178
ABI08324,12514870158,TBD,08324
ABI08329,00318030137,TBD,08329
ABI08338,00380000729,TBD,08338
ABI08340,01741030983,TBD,08340
ABI08341,00193930823,TBD,08341
ABI08344,00088800602,TBD,08344
ABI08356,00091700930,TBD,08356
ABI08374,01434500151,TBD,08374
ABI08378,00258900653,TBD,08378
ABI08381,01041710581,TBD,08381
ABI08397,00254540040,TBD,08397
ABI08404,00688150150,TBD,08404
ABI08416,00319990230,TBD,08416
ABI08425,02599341209,TBD,08425
ABI08439,00245130042,TBD,08439
ABI08453,01132850155,TBD,08453
ABI08450,00195530043,TBD,08450
ABI08445,00198480758,TBD,08445
ABI08462,00068200393,TBD,08462
ABI08461,00149160491,TBD,08461
ABI08509,01402600389,TBD,08509
ABI08491,00096960430,TBD,08491
ABI08487,00204710040,CCRTIT2TCHE,08487
ABI08554,93000870761,TBD,08554
ABI08553,00686880642,CCRTIT2TFLU,08553
ABI08575,00284980174,TBD,08575
ABI08572,00068860709,TBD,08572
ABI08587,00365360072,TBD,08587
ABI08590,01405390244,TBD,08590
ABI08601,00101580827,TBD,08601
ABI08622,00074360314,CCRTIT2T96A,08622
ABI08631,00251640306,TBD,08631
ABI08637,00249930306,TBD,08637
ABI08673,01292880521,TBD,08673
ABI08706,00059520742,TBD,08706
ABI08728,00311340285,TBD,08728
ABI08732,00152400248,TBD,08732
ABI08735,00436650170,TBD,08735
ABI08736,00409340486,TBD,08736
ABI08743,00036100576,TBD,08743
ABI08747,00092420660,TBD,08747
ABI08787,01025110584,TBD,08787
ABI08765,01176450433,TBD,08765
ABI08749,00176640266,TBD,08749
ABI08810,00149260713,TBD,08810
ABI08851,01602230532,TBD,08851
ABI08844,00256750720,TBD,08844
ABI08817,00130830730,TBD,08817
ABI08812,01025110584,TBD,08812
ABI08855,00252880653,TBD,08855
ABI08976,00223510827,TBD,08976
ICRAITRRR40,00223510827,ICRAITRRR40,TBD
ABI08899,00255130163,TBD,08899
ABI08910,01538480235,TBD,08910
ABI08931,00057680563,TBD,08931
ABI08952,00055510853,TBD,08952
ABI08968,00086890696,TBD,08968
ABI08985,01438930859,TBD,08985
ABI08995,04241950403,TBD,08995
ICRAITRRE50,01402600389,ICRAITRRE50,TBD
ICRAITRRKR0,00092420660,ICRAITRRKR0,TBD
ICRAITRR950,00318030137,ICRAITRR950,TBD
ICRAITRRKC0,00152400248,ICRAITRRKC0,TBD
CCRTIT2T30A,00107860223,CCRTIT2T30A,TBD
ICRAITRRCI0,00195530043,ICRAITRRCI0,TBD
ICRAITRRMK0,01025110584,ICRAITRRMK0,TBD
CCRTIT2TB01,01538480235,CCRTIT2TB01,TBD
CCRTIT2TCHB,01292880521,CCRTIT2TCHB,TBD
CCRTIT2TW00,00285800280,CCRTIT2TW00,TBD
ICRAITRRL90,01176450433,ICRAITRRL90,TBD
CRFEIT3F,00112540448,CRFEIT3F,TBD
ICRAITRRGP0,00101580827,ICRAITRRGP0,TBD
ICRAITRRB10,00254540040,ICRAITRRB10,TBD
CCRTIT2TCSS,00167420041,CCRTIT2TCSS,TBD
ICRAIT3FKG0,00409340486,ICRAIT3FKG0,TBD
ICRAITRRCL0,01132850155,ICRAITRRCL0,TBD
CCRTIT2TBTL,00436650170,CCRTIT2TBTL,TBD
CRBZIT2B,00152980215,CRBZIT2B,TBD
BPPUIT33,02848590754,BPPUIT33,TBD
ICRAITRRB80,00688150150,ICRAITRRB80,TBD
ICRAITRR8R0,01548170230,ICRAITRR8R0,TBD
CCRTIT2TBCV,01405390244,CCRTIT2TBCV,TBD
CCRTIT2T99A,00249930306,CCRTIT2T99A,TBD
ICRAITRRAI0,00258900653,ICRAITRRAI0,TBD
ICRAITRRTV0,03518350545,ICRAITRRTV0,TBD
CCRTIT2TBEN,00167340041,CCRTIT2TBEN,08382
ICRAITRR9H0,00193930823,ICRAITRR9H0,TBD
ICRAITRRNN0,01602230532,ICRAITRRNN0,TBD
CCRTIT2TCAR,00245130042,CCRTIT2TCAR,TBD
CCRTIT2TVAL,00365360072,CCRTIT2TVAL,TBD
CCRTIT2TBCE,01402600389,CCRTIT2TBCE,TBD
ICRAITRRU40,03669140265,ICRAITRRU40,TBD
ICRAITRRJM0,00059520742,ICRAITRRJM0,TBD
ICRAITRR900,12514870158,ICRAITRR900,TBD
CCRTIT2TBOV,00254540040,CCRTIT2TBOV,TBD
ICRAITRRLV0,01025110584,ICRAITRRLV0,TBD
BCCTIT2T,00255130163,BCCTIT2T,TBD
CCRTIT2T47A,00109850222,CCRTIT2T47A,TBD
ICRAITRRFW0,00068860709,ICRAITRRFW0,TBD
CCRTIT2TCIV,00096960430,CCRTIT2TCIV,TBD
CRLVIT21XXX,03515830168,CRLVIT21XXX,TBD
ICRAITRRCU0,00068200393,ICRAITRRCU0,TBD
CCRTIT2TSMZ,00130830730,CCRTIT2TSMZ,TBD
CCRTIT2TAQU,00639000652,CCRTIT2TAQU,TBD
CCRTIT2TFOB,00067610931,CCRTIT2TFOB,TBD
ICRAITRRTQ0,04241970401,ICRAITRRTQ0,TBD
ICRAITRRTI0,02300410780,ICRAITRRTI0,TBD
ICRAITRROUO,00781330154,ICRAITRROUO,TBD
ICRAITRRRN0,04241950403,ICRAITRRRN0,TBD
ICRAITRRNR0,00252880653,ICRAITRRNR0,TBD
ICRAITRRFE0,93000870761,ICRAITRRFE0,TBD
PASCITMM,00884060526,PASCITMM,01030
ICRAITRROL0,03518350545,ICRAITRROL0,TBD
ICRAITRRFZ0,00284980174,ICRAITRRFZ0,TBD
ICRAITRRKT0,00176640266,ICRAITRRKT0,TBD
ICRAITRRQG0,00055510853,ICRAITRRQG0,TBD
CCRTIT2TPRE,00254520265,CCRTIT2TPRE,08904
ABI08010,00181060211,TBD,08010
ABI08035,00198190217,TBD,08035
ABI08056,00170970214,TBD,08056
ABI08065,00182930214,TBD,08065
ABI08066,00137230215,TBD,08066
ABI08080,00174900217,TBD,08080
ABI08081,00180630212,TBD,08081
ABI08094,00159510213,TBD,08094
ABI08110,00147150213,TBD,08110
ABI08112,00163310212,TBD,08112
ABI08113,00181170218,TBD,08113
ABI08114,00143480218,TBD,08114
ABI08115,00186510210,TBD,08115
ABI08117,00163250210,TBD,08117
ABI08134,00147690218,TBD,08134
ABI08148,00171380215,TBD,08148
ABI08157,00159550219,TBD,08157
ABI08162,00163220213,TBD,08162
ABI08175,00169290210,TBD,08175
ABI08182,00165630211,TBD,08182
ABI08183,00161920210,TBD,08183
ABI08220,00147330211,TBD,08220
ABI08231,00137770210,TBD,08231
ABI08233,00181040213,TBD,08233
ABI08234,00143180214,TBD,08234
ABI08238,00134590215,TBD,08238
ABI08244,00171320211,TBD,08244
ABI08249,00143170215,TBD,08249
ABI08255,00142030212,TBD,08255
ABI08269,00158030213,TBD,08269
ABI08273,00146490214,TBD,08273
ABI08278,00129600219,TBD,08278
ABI08285,00193730215,TBD,08285
