PSP_CODE,CF,BIC,ABI,ENABLED
ICRAITRRTM0,03685090650,ICRAITRRTM0,TBD,Y
ICRAITRRBK0,00319990230,ICRAITRRBK0,TBD,Y
CCRTIT2TSGR,00149260713,CCRTIT2TSGR,TBD,Y
CCRTIT2TVIT,00057680563,CCRTIT2TVIT,TBD,Y
CCRTIT2T01A,00148270226,CCRTIT2T01A,TBD,Y
CCRTIT2TLAU,09900240152,CCRTIT2TLAU,TBD,Y
ABI07116,90016030679,TBD,07116,Y
CCRTIT2TGSI,90016030679,CCRTIT2TGSI,TBD,Y
ICRAITRRCD0,00198480758,ICRAITRRCD0,TBD,Y
ABI07096,02742900927,TBD,07096,Y
ICRAITRRUG0,02742900927,ICRAITRRUG0,TBD,Y
SARDIT31,01564560900,SARDIT31,01015,Y
BDBDIT22,01181770155,BDBDIT22XXX,03440,Y
CCRTIT2TALB,00380000729,CCRTIT2TALB,TBD,Y
CCRTIT2TCAS,00149160491,CCRTIT2TCAS,TBD,Y
RZSBIT21019,00179580212,RZSBIT21019,TBD,Y
POPRIT3R,00026870881,POPRIT3R,TBD,Y
CCRTIT2TTER,00251640306,CCRTIT2TTER,TBD,Y
NIPSITR1,04335420404,NIPSITR1,TBD,Y
BAPPIT21,09722490969,BAPPIT21,TBD,Y
ABI06175,03285880104,TBD,06175,Y
SARCIT2S,00204500045,SARCIT2S,TBD,Y
CCRTIT2TBAR,01434500151,CCRTIT2TBAR,TBD,Y
CCRTIT2TPAD,01741030983,CCRTIT2TPAD,08340,Y
BPMOIT22,01153230360,BPMOIT22XXX,05387,Y
CASRIT22,00060550050,CASRIT22XXX,06085,Y
BPBAITR1,00063960553,BPBAITR1,06220,Y
CCRTIT2TFLU,00686880642,CCRTIT2TFLU,08553,Y
CCRTIT2T95A,00078700259,CCRTIT2T95A,08511,Y
CCRTIT2T96A,00074360314,CCRTIT2T96A,08622,Y
CRACIT33,02599341209,CRACIT33XXX,08425,Y
BCPTITNN,00423310630,BCPTITNN,05142,Y
CRGEITGG,03285880104,CRGEITGG,06175,Y
BMLUIT3L,01459540462,BMLUIT3L,06915,Y
BCEPITMM,07051880966,BCEPITMM,03084,Y
ABI07074,00091700930,TBD,07074,Y
ABI07075,03518350545,TBD,07075,Y
ABI07078,01617330855,TBD,07078,Y
CCRTIT2TN00,00088800602,CCRTIT2TN00,TBD,Y
ICRAITRRDJ0,00204710040,ICRAITRRDJ0,TBD,Y
ABI08794,09900240152,TBD,08794,Y
ABI07108,02428850842,TBD,07108,Y
ABI07084,03669140265,TBD,07084,Y
ABI08030,00781330154,TBD,08030,Y
ABI08120,00107860223,TBD,08120,Y
ABI08163,01258070224,TBD,08163,Y
ABI08178,00109850222,TBD,08178,Y
ABI08324,12514870158,TBD,08324,Y
ABI08329,00318030137,TBD,08329,Y
ABI08338,00380000729,TBD,08338,Y
ABI08340,01741030983,TBD,08340,Y
ABI08341,00193930823,TBD,08341,Y
ABI08344,00088800602,TBD,08344,Y
ABI08356,00091700930,TBD,08356,Y
ABI08374,01434500151,TBD,08374,Y
ABI08378,00258900653,TBD,08378,Y
ABI08381,01041710581,TBD,08381,Y
ABI08397,00254540040,TBD,08397,Y
ABI08404,00688150150,TBD,08404,Y
ABI08416,00319990230,TBD,08416,Y
ABI08425,02599341209,TBD,08425,Y
ABI08439,00245130042,TBD,08439,Y
ABI08453,01132850155,TBD,08453,Y
ABI08450,00195530043,TBD,08450,Y
ABI08445,00198480758,TBD,08445,Y
ABI08462,00068200393,TBD,08462,Y
ABI08461,00149160491,TBD,08461,Y
ABI08509,01402600389,TBD,08509,Y
ABI08491,00096960430,TBD,08491,Y
ABI08487,00204710040,CCRTIT2TCHE,08487,Y
ABI08554,93000870761,TBD,08554,Y
ABI08553,00686880642,CCRTIT2TFLU,08553,Y
ABI08575,00284980174,TBD,08575,Y
ABI08572,00068860709,TBD,08572,Y
ABI08587,00365360072,TBD,08587,Y
ABI08590,01405390244,TBD,08590,Y
ABI08601,00101580827,TBD,08601,Y
ABI08622,00074360314,CCRTIT2T96A,08622,Y
ABI08631,00251640306,TBD,08631,Y
ABI08637,00249930306,TBD,08637,Y
ABI08673,01292880521,TBD,08673,Y
ABI08706,00059520742,TBD,08706,Y
ABI08728,00311340285,TBD,08728,Y
ABI08732,00152400248,TBD,08732,Y
ABI08735,00436650170,TBD,08735,Y
ABI08736,00409340486,TBD,08736,Y
ABI08743,00036100576,TBD,08743,Y
ABI08747,00092420660,TBD,08747,Y
ABI08787,01025110584,TBD,08787,Y
ABI08765,01176450433,TBD,08765,Y
ABI08749,00176640266,TBD,08749,Y
ABI08810,00149260713,TBD,08810,Y
ABI08851,01602230532,TBD,08851,Y
ABI08844,00256750720,TBD,08844,Y
ABI08817,00130830730,TBD,08817,Y
ABI08812,01025110584,TBD,08812,Y
ABI08855,00252880653,TBD,08855,Y
ABI08976,00223510827,TBD,08976,Y
ICRAITRRR40,00223510827,ICRAITRRR40,TBD,Y
ABI08899,00255130163,TBD,08899,Y
ABI08910,01538480235,TBD,08910,Y
ABI08931,00057680563,TBD,08931,Y
ABI08952,00055510853,TBD,08952,Y
ABI08968,00086890696,TBD,08968,Y
ABI08985,01438930859,TBD,08985,Y
ABI08995,04241950403,TBD,08995,Y
ICRAITRRE50,01402600389,ICRAITRRE50,TBD,Y
ICRAITRRKR0,00092420660,ICRAITRRKR0,TBD,Y
ICRAITRR950,00318030137,ICRAITRR950,TBD,Y
ICRAITRRKC0,00152400248,ICRAITRRKC0,TBD,Y
CCRTIT2T30A,00107860223,CCRTIT2T30A,TBD,Y
ICRAITRRCI0,00195530043,ICRAITRRCI0,TBD,Y
ICRAITRRMK0,01025110584,ICRAITRRMK0,TBD,Y
CCRTIT2TB01,01538480235,CCRTIT2TB01,TBD,Y
CCRTIT2TCHB,01292880521,CCRTIT2TCHB,TBD,Y
CCRTIT2TW00,00285800280,CCRTIT2TW00,TBD,Y
ICRAITRRL90,01176450433,ICRAITRRL90,TBD,Y
CRFEIT3F,00112540448,CRFEIT3F,TBD,Y
ICRAITRRGP0,00101580827,ICRAITRRGP0,TBD,Y
